Price,qm2,Description
1450 €,49 m²,2-Zimmer-Wohnung|MünchenMuenchen-Nord/LerchenauerSee|Krempelhuberplatz
1340 €,46 m²,2-Zimmer-Wohnung|MünchenMaxvorstadt|Luisenstrasse
980 €,53 m²,1-Zimmer-Wohnung|MünchenPasing-Obermenzing|Schmaedelstraße
1150 €,40 m²,2-Zimmer-Wohnung|MünchenNeuhausen-Nymphenburg|München
1300 €,40 m²,"1,5-Zimmer-Wohnung|MünchenAu-Haidhausen|Asamstraße12"
1080 €,18 m²,2-Zimmer-Wohnung|MünchenBergamLaim|Kreillerstraße
1800 €,70 m²,3-Zimmer-Wohnung|MünchenMilbertshofen-AmHart|Fasanerie
859 €,30 m²,1-Zimmer-Wohnung|MünchenLudwigsvorstadt-Isarvorstadt|Schmellerstraße28a
900 €,65 m²,2-Zimmer-Wohnung|MünchenLudwigsvorstadt-Isarvorstadt|Körnerstraße
1100 €,50 m²,2-Zimmer-Wohnung|MünchenSchwabing/Maxvorstadt|Georgenstraße
1680 €,63 m²,3-Zimmer-Wohnung|MünchenSendling-Westpark|GarmischerStraße
1190 €,48 m²,"2-Zimmer-Wohnung|MünchenNeuhausen-Nymphenburg|Lily-Braun-Weg,13"
1400 €,60 m²,"2,5-Zimmer-Wohnung|MünchenLudwigsvorstadt-Isarvorstadt|Dreimühlenstraße"
1780 €,77 m²,3-Zimmer-Wohnung|MünchenMünchen|Packenreiterstr.32
2100 €,110 m²,4-Zimmer-Wohnung|MünchenAu-Haidhausen|Preysingstr.8A
1500 €,53 m²,2-Zimmer-Wohnung|MünchenUntergiesing-Harlaching|Cannabichstr.
700 €,32 m²,2-Zimmer-Wohnung|MünchenLudwigsvorstadt-Isarvorstadt|Lindwurmstrasse57
1250 €,65 m²,3-Zimmer-Wohnung|MünchenMünchen|FürstenriederStrasse6
255 €,18 m²,1-Zimmer-Wohnung|MünchenMunichNorth|Berzeliusstrase3
1600 €,55 m²,2-Zimmer-Wohnung|MünchenSchwabing-West|BirnauerStr.
1300 €,63 m²,2-Zimmer-Wohnung|MünchenLudwigsvorstadt-Isarvorstadt|Erhardtstraße5
1300 €,40 m²,2-Zimmer-Wohnung|MünchenBergamLaim|Halserspitzstraße40
1200 €,42 m²,2-Zimmer-Wohnung|MünchenMaxvorstadt|Schellingstr.134
1850 €,87 m²,4-Zimmer-Wohnung|MünchenAltstadt-Lehel|Gewürzmühlstraße17
1700 €,66 m²,"2,5-Zimmer-Wohnung|MünchenLudwigsvorstadt-Isarvorstadt|Schmellerstr."
1595 €,56 m²,"2,5-Zimmer-Wohnung|MünchenAltbogenhausen|Richard-Strauß-Str.9"
1290 €,30 m²,2-Zimmer-Wohnung|MünchenBergamLaim|Kreillerst.
635 €,28 m²,2-Zimmer-Wohnung|MünchenSchwanthalerhöhe|Holzapfelstr.6
1400 €,56 m²,2-Zimmer-Wohnung|MünchenMaxvorstadt|Musterstraße1
1100 €,45 m²,2-Zimmer-Wohnung|MünchenAu-Haidhausen|Zeppelinstr.
1200 €,55 m²,2-Zimmer-Wohnung|MünchenMaxvorstadt|Nordendstrasse15
1140 €,48 m²,2-Zimmer-Wohnung|MünchenOBERAUDORF50minfromMu...|Laurentiusstr13
1000 €,30 m²,2-Zimmer-Wohnung|MünchenPasing-Obermenzing|Landsbergerstr.241
1300 €,45 m²,2-Zimmer-Wohnung|MünchenMaxvorstadt|Dachauerstr.27
1550 €,60 m²,3-Zimmer-Wohnung|MünchenAu-Haidhausen|Schornstrasse5
640 €,32 m²,"1,5-Zimmer-Wohnung|MünchenLudwigsvorstadt-Isarvorstadt|ThalkirchnerStr.29"
1414 €,43 m²,2-Zimmer-Wohnung|MünchenBogenhausen|Herkomerplatz
1306 €,60 m²,2-Zimmer-Wohnung|MünchenBogenhausen|Ismaningerstr.89
1150 €,60 m²,2-Zimmer-Wohnung|MünchenAU-Haidhausen|Auerfeldstrasse
1791 €,88 m²,2-Zimmer-Wohnung|MünchenAu-Haidhausen|Brecherspitzstr.
1500 €,60 m²,2-Zimmer-Wohnung|MünchenBogenhausen|Flaschenträgerstraße18
1200 €,55 m²,2-Zimmer-Wohnung|MünchenNeuhausen-Nymphenburg|Arnulfstr.170
2400 €,74 m²,3-Zimmer-Wohnung|MünchenPerlachZentrum|Stemplingeranger11
1600 €,51 m²,2-Zimmer-Wohnung|MünchenAu-Haidhausen|Tassiloplatz17
1500 €,67 m²,"2,5-Zimmer-Wohnung|MünchenAu-Haidhausen|Jugendstrasse10"
1650 €,70 m²,2-Zimmer-Wohnung|MünchenSendling-Westpark|AmHarras
1798 €,78 m²,"2,5-Zimmer-Wohnung|MünchenMaxvorstadt|Gabelsbergerstraße59"
1267 €,61 m²,"2,5-Zimmer-Wohnung|MünchenHaidhausen|Preysingstrx"
1240 €,55 m²,"2-Zimmer-Wohnung|MünchenBogenhausen|Grimmeisenstraße,29"
1050 €,40 m²,2-Zimmer-Wohnung|MünchenFasangarten|GörzerStraße171
1700 €,54 m²,2-Zimmer-Wohnung|MünchenMaxvorstadt|Schellingstr.158
1415 €,43 m²,2-Zimmer-Wohnung|MünchenLudwigsvorstadt-Isarvorstadt|Schwanthalerstr.70
1800 €,44 m²,3-Zimmer-Wohnung|MünchenBergamLaim|Hochalmstraße
1800 €,80 m²,2-Zimmer-Wohnung|MünchenLudwigsvorstadt-Isarvorstadt|Fraunhoferstraße39
1250 €,60 m²,"2,5-Zimmer-Wohnung|MünchenAubing-Lochhausen-Langwied|Reichenaustr.19"
1600 €,65 m²,2-Zimmer-Wohnung|MünchenSchwabing-West|Kraepelinstrasse61
1400 €,65 m²,2-Zimmer-Wohnung|MünchenNäheKlinikumGrosshadern|Sauerbruchstraße
900 €,15 m²,3-Zimmer-Wohnung|MünchenLaim|Camerloherstr103
1875 €,55 m²,2-Zimmer-Wohnung|MünchenAu-Haidhausen|Ohlmüllerstr.15
2200 €,52 m²,2-Zimmer-Wohnung|MünchenAu-Haidhausen|InnereWienerStr.26
1290 €,53 m²,2-Zimmer-Wohnung|MünchenThalkirchen-Obersendling-...|Wilhelm-Busch-Str.27
870 €,42 m²,2-Zimmer-Wohnung|MünchenDirektanderSBahnKarl...|Gustav-Otto-Bogen19
2300 €,80 m²,3-Zimmer-Wohnung|MünchenAllach-Untermenzing|Korbinian-BeerStr.1b
1200 €,100 m²,4-Zimmer-Wohnung|MünchenUntergiesing-Harlaching|E
1600 €,65 m²,"3-Zimmer-Wohnung|MünchenSendling|Schmied-Kochel-Strasse,6"
1650 €,70 m²,3-Zimmer-Wohnung|MünchenBergamLaim|Mühldorfstr.39
